"Polarity","Tweet"
"neutral","ah biasa min pejabat mah moal jauh ti kata korupsi"
"positive","kalo yg korupsi kabinetnya baru gk ada prubhan brarti <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>"
"negative","tapi intinya sampen korupsi kan"
"negative","korupsi itu menyalahgunakan kekuasaan termasuk utk menyingkirkan orang bukan hanya utk keruk duit negara"
"negative","besok kami akan karena seperti kami anti korupsi"
"positive","hanya yg mata hati dan pikirannya tertutup oleh keinginan korupsi yg tidak bisa melihat dan mengakui kemajuan luar biasa ini"
"positive","pilih pemimpin yg tdk ada bau korupsi sedikitpun hidup ahok <U+2665><U+2665><U+2665>"
"positive","gue untuk jakarta yg jujur tegas dan bersih dari korupsi dan sampah"
"neutral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"negative","antasari sebut sby kasus korupsi pajak sebut adik ipar jokowi"
"negative","antasari azhar sebut hary tanoesoedibjo utusan cikeas soal lobi kasus korupsi besan sby"
"negative","ini alasan kuat mengapa tito tak pernah memeriksa ahok terkait tindak pidana korupsi yg dilaporkan masyarakat"
"neutral","penggeledahan di kantor pt wira usaha sumekar wus oleh tim satuan khusus pemberantasan korupsi"
"positive","bagus kenapa dia tidak berani korupsi karena banyak musuhnya <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30> bener"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","besok kami akan karena seperti kami anti korupsi"
"positive","hari ini khusus utk warga dki fokus saja pada pencoblosan agar jakarta bebas korupsi betul nyata berubah aman dan d…"
"negative","bukannya yg dusta itu yang bilang katakan tidak pada korupsi tapi kenyataannya malah rame korupsi …"
"positive","pilih pemimpin yg tdk ada bau korupsi sedikitpun hidup ahok <U+2665><U+2665><U+2665>"
"positive","pilih pemimpin yg tdk ada bau korupsi sedikitpun hidup ahok <U+2665><U+2665><U+2665>"
"negative","besok kami akan karena seperti kami anti korupsi"
"positive","ada yg korupsi 
ada yg jaim 
tapi yg lebih bahaya dari semua ialah yg nafsu berkuasa jadi apapun boleh asal dia menang stop this person"
"positive","pilih pemimpin yg tdk ada bau korupsi sedikitpun hidup ahok <U+2665><U+2665><U+2665>"
"negative","pilkada hari ini harus jadi berkah bukan musibah tp org kada tersangkut korupsi sjk hrs jd pelajaran penting hari ini"
"positive","semoga keluarganya mbak diberkahi oleh allah semoga keluarga mbak nggak banyak korupsi lagi tdk ada yg disembunyi…"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","antasari sebut sby kasus korupsi pajak sebut adik ipar jokowi"
"negative","kt percaya kpk dan artijo di banding omongan politisi santun tpi korupsi buktikan klo au korban interbensi sby"
"positive","setya novanto diduga ikut bermain proyek ktp elektronik e ktp yang kini sdg di periksa kpk cc"
"negative","besok kami akan karena seperti kami anti korupsi"
"positive","wahai warga jakarta apakah saya tidak boleh minta mayoritas warga coblos yg mau kerja dan bersih dari korupsi memprokla…"
"negative","polisi hrs bisa menjelaskan ini uang pidana apa korupsi atau apa kok dana di usut kok dana gak mikir pa"
"neutral","sudah gagal total menjadi presiden selama ini korupsi semakin banyak"
"negative","ini alasan kuat mengapa tito tak pernah memeriksa ahok terkait tindak pidana korupsi yg dilaporkan masyarakat"
"negative","besok kami akan karena seperti kami anti korupsi"
"neutral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"positive","sumber semua masalah di negeri ini adalah korupsi karenanya besok pilih yg kita yakin bersih jujur anti korupsi da…"
"neutral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi"
"negative","besok kami akan karena seperti kami anti korupsi"
